t;Y;C;G;J;Ex;Im;Yr;Cr;Gr;Jr;Exr;Imr;Yp;Cp;Gp;Jp;Exp;Imp
2006q01;6824.375988;3310.381707;1128.788913;1406.040185;2237.473369;1258.308186;12679.37554;5357.115992;2514.013835;2136.765498;3771.922528;1817.864067;0.538226506;0.617941018;0.448998688;0.520887287;0.593191762;0.692190472
2006q02;7000.047672;3506.614215;1190.981533;1384.25868;2258.247672;1340.054427;12937.23087;5568.793496;2545.632616;2298.368461;3838.310662;1908.804108;0.541077742;0.629690115;0.467852873;0.534705087;0.588344163;0.702038738
2006q03;7418.586587;3692.454182;1254.811587;1574.076904;2290.409042;1393.165129;13224.41732;5728.03603;2564.402463;2414.035509;3888.539467;1998.77113;0.560976443;0.644628309;0.489319288;0.551804095;0.589015249;0.697010832
2006q04;7650.615866;3887.561393;1308.045827;1750.333589;2242.462184;1537.787128;13559.03276;5951.076826;2563.114713;2526.042382;3996.238527;2195.584551;0.564244958;0.653253437;0.510334485;0.573005819;0.561143227;0.700399867
2007q01;7987.473299;4000.933476;1375.1066;1952.873806;2262.745137;1604.18572;13702.92764;6068.389751;2584.558462;2536.323275;3883.062445;2354.942599;0.582902684;0.659307269;0.532047009;0.593228139;0.5827218;0.6811995
2007q02;8538.319167;4291.497592;1450.806031;2133.267929;2373.493588;1710.745973;14052.72124;6318.922933;2611.618627;2748.815441;4020.247444;2427.076204;0.607591869;0.679150171;0.555519867;0.614225694;0.59038495;0.704858781
2007q03;9077.414278;4586.835548;1534.734369;2272.491127;2468.427607;1785.074372;14305.39859;6554.88178;2602.340594;2787.746056;4026.316076;2525.362966;0.634544659;0.699758699;0.589751538;0.638772721;0.61307348;0.706858537
2007q04;10020.06385;4893.655314;1640.596188;2557.261706;2837.778306;1909.227661;14804.71517;6750.846827;2615.360967;3210.941916;4429.76096;2705.956383;0.676815713;0.72489503;0.62729245;0.668926937;0.640616578;0.705564832
2008q01;10458.45133;5058.401487;1743.379624;2564.026726;3169.166434;2076.522941;14959.00869;6900.99459;2660.080636;3140.002958;4284.29401;2844.058348;0.699140668;0.732996008;0.655386006;0.705059483;0.739717309;0.730126702
2008q02;11254.3126;5414.626618;1865.380447;2944.632244;3263.097337;2233.424045;15161.56982;7093.248193;2679.719369;3245.682529;4049.877967;2889.859136;0.742292041;0.763349381;0.696110372;0.736186331;0.805727324;0.772848758
2008q03;11768.51018;5791.86976;1978.397614;2847.131818;3546.091209;2394.980219;15221.67906;7259.863115;2682.269627;3146.996823;4151.474964;3060.122754;0.773141395;0.797793246;0.737583424;0.774783186;0.854176224;0.782641878
2008q04;10860.67735;5874.735842;2093.543396;2245.571766;2876.456229;2229.629879;14608.01237;7122.325298;2693.80581;3186.724253;4038.504074;2741.43333;0.743473997;0.824833969;0.777169382;0.794409886;0.71225785;0.81330808
2009q01;9777.826878;5755.9358;1982.650459;1704.185099;2339.265659;2004.21014;13683.57932;6928.535421;2601.905002;2823.630916;3530.867084;1962.884704;0.714566463;0.830757938;0.761999557;0.799429861;0.662518753;1.02105342
2009q02;10231.67199;5774.393142;2078.514318;1712.881711;2551.699076;1885.816261;13730.12533;6644.719332;2645.496021;2663.150628;4033.001265;1999.846881;0.745198732;0.869019872;0.785680379;0.813714393;0.632704755;0.942980325
2009q03;10852.55945;5802.715835;2134.761967;1860.928808;2949.963792;1895.81095;13895.27321;6615.283209;2670.838736;2712.598152;4154.347201;1866.983208;0.781025266;0.877168165;0.799285235;0.826309786;0.710090816;1.015440815
2009q04;10792.56548;5958.114786;2212.871772;1749.452352;2910.35002;2038.223449;13872.61725;6768.689881;2726.68016;2593.566925;4050.406476;2032.407077;0.777976159;0.880246383;0.811562649;0.842149813;0.718532828;1.002861815
2010q01;11726.68177;6267.470554;2145.380907;2208.710872;3189.563483;2084.444043;14240.56039;7028.60921;2590.48916;2723.508458;4179.404326;2187.740022;0.823470527;0.891708497;0.828175983;0.865114231;0.76316222;0.952784161
2010q02;12148.78239;6440.900083;2217.640096;2469.794652;3297.924106;2277.47655;14416.62405;7075.412146;2601.903752;2817.153179;4222.017955;2435.847923;0.842692599;0.91032154;0.852314423;0.896877871;0.781125078;0.934983062
2010q03;12598.75902;6601.276951;2284.647491;2843.928148;3366.598125;2497.691694;14426.92809;7058.94387;2609.762239;2857.165044;4227.064362;2513.439643;0.87328078;0.935164959;0.875423614;0.918730346;0.796438814;0.993734503
2010q04;13220.10446;6858.096348;2391.313828;3069.881226;3579.127847;2678.314793;14577.26236;7174.860369;2630.712571;2867.474376;4206.389652;2648.106099;0.906898986;0.955850845;0.908998518;0.940435787;0.850878816;1.01140766
2011q01;14024.20009;7161.54944;2528.97444;3329.100547;3809.721321;2805.145658;14706.76588;7302.31229;2621.071925;2896.891251;4148.118359;2807.86571;0.953588315;0.980723524;0.964862664;0.963327225;0.918421557;0.999031274
2011q02;14804.31563;7428.411509;2613.104603;3553.383294;4157.280635;2947.864408;14891.50897;7455.58128;2631.477641;3003.809131;4283.359299;3001.475094;0.994144762;0.996355781;0.993017977;0.981492543;0.970565471;0.982138554
2011q03;15357.32071;7629.626017;2662.101824;3770.398093;4240.917971;2945.723192;15157.15621;7608.79808;2633.415257;3100.245661;4184.436356;2950.90473;1.01320594;1.002737349;1.010893294;1.002189622;1.013498022;0.998244085
2011q04;15868.65534;7881.51158;2725.364122;3880.299617;4594.792512;3213.312489;15329.43564;7741.290178;2640.837076;3210.088633;4234.495815;3053.901772;1.035175444;1.018113441;1.032007672;1.023023996;1.085086091;1.052199032
2012q01;16342.98093;8217.395302;2902.260259;3935.91654;4604.280205;3316.871375;15507.13932;7906.021765;2707.963305;3206.818323;4321.705143;3147.966053;1.053900439;1.039384351;1.071750217;1.044156128;1.065385086;1.053655382
2012q02;16839.85664;8479.407611;2986.362625;4176.067484;4552.773925;3354.755007;15552.32366;8043.125169;2701.059501;3198.871383;4193.368148;3148.919393;1.082787177;1.054242901;1.105626375;1.063961034;1.085708138;1.065367063
